Name	Type	Length	%GC	Description 	    
ECs0026	N	264	46.59	BA000007_25220_25483 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0027	N	225	48.00	BA000007_25586_25810 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0028	N	942	53.50	BA000007_25818_26759 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0029	N	2817	55.73	BA000007_26802_29618 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0030	N	495	53.33	BA000007_29618_30112 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0031	N	450	55.33	BA000007_30200_30649 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0032	N	951	55.21	BA000007_30651_31601 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0033	N	915	55.63	BA000007_31667_32581 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0034	N	822	52.92	BA000007_32748_33569 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0035	N	1149	53.44	BA000007_34025_35173 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0036	N	3222	55.87	BA000007_35191_38412 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0037	N	501	43.51	BA000007_38568_39068 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0038	N	612	54.90	BA000007_39187_39798 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0039	N	894	52.46	BA000007_39783_40676 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0040	N	1569	50.61	BA000007_40677_42245 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0041	N	1218	52.46	BA000007_42304_43521 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0042	N	1143	53.81	BA000007_43650_44792 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0043	N	1515	51.88	BA000007_44823_46337 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0044	N	807	51.67	BA000007_46780_47586 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0045	N	942	55.94	BA000007_47601_48542 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0046	N	1287	54.86	BA000007_48593_49879 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0047	N	288	56.94	BA000007_49876_50163 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0048	N	1332	53.38	BA000007_50221_51552 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0049	N	531	54.80	BA000007_51660_52190 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0050	N	1863	55.82	BA000007_52183_54045 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0051	N	480	53.33	BA000007_54237_54716 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0052	N	234	48.72	BA000007_54802_55035 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0053	N	315	45.71	BA000007_55038_55352 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0054	N	849	55.95	BA000007_55349_56197 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0055	N	378	51.85	BA000007_56204_56581 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0056	N	822	53.16	BA000007_56584_57405 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0057	N	990	56.16	BA000007_57402_58391 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0058	N	1287	53.77	BA000007_58391_59677 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0059	N	2355	51.34	BA000007_59730_62084 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0060	N	816	52.82	BA000007_62339_63154 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0061	N	753	41.83	BA000007_63449_64201 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0062	N	660	54.09	BA000007_64619_65278 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0063	N	2907	55.01	BA000007_65290_68196 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0064	N	2352	55.57	BA000007_68360_70711 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0065	N	696	54.89	BA000007_70786_71481 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0066	N	1503	55.62	BA000007_71681_73183 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0067	N	1701	57.97	BA000007_73194_74894 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0068	N	879	52.90	BA000007_75233_76111 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0069	N	765	54.38	BA000007_76197_76961 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0070	N	699	56.94	BA000007_77048_77746 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0071	N	1611	58.97	BA000007_77730_79340 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0072	N	984	52.95	BA000007_79316_80299 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0073	N	570	43.16	BA000007_80671_81240 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0074	N	1659	55.21	BA000007_81469_83127 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0075	N	606	52.31	BA000007_83455_84060 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0076	N	1401	55.67	BA000007_84071_85471 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0077	N	1095	54.89	BA000007_85474_86568 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0078	N	1572	53.12	BA000007_86565_88136 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0079	N	87	47.13	BA000007_88229_88315 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0080	N	945	45.82	BA000007_88973_89917 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0081	N	1767	52.52	BA000007_90193_91959 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0082	N	492	49.39	BA000007_91962_92453 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0083	N	87	44.83	BA000007_92465_92551 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0084	N	1005	54.83	BA000007_92633_93637 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0085	N	459	52.29	BA000007_94239_94697 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0086	N	942	54.88	BA000007_94699_95640 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0087	N	366	50.55	BA000007_95637_96002 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0088	N	1767	53.65	BA000007_96018_97784 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0089	N	1488	56.32	BA000007_97771_99258 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0090	N	1359	54.75	BA000007_99255_100613 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0091	N	1083	53.09	BA000007_100607_101689 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0092	N	1317	55.20	BA000007_101692_103008 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0093	N	1245	52.85	BA000007_103008_104252 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0094	N	1068	55.99	BA000007_104249_105316 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0095	N	1476	54.61	BA000007_105370_106845 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0096	N	921	51.68	BA000007_106838_107758 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0097	N	831	53.55	BA000007_107760_108590 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0098	N	1263	52.26	BA000007_108587_109849 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0099	N	1152	54.25	BA000007_109910_111061 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0100	N	918	51.20	BA000007_111162_112079 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0101	N	588	52.89	BA000007_112235_112822 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0102	N	2706	52.18	BA000007_112884_115589 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0103	N	399	48.37	BA000007_115649_116047 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0104	N	135	55.56	BA000007_116053_116187 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0105	N	198	52.02	BA000007_116138_116335 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0106	N	744	51.34	BA000007_116345_117088 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0107	N	621	52.66	BA000007_117088_117708 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0108	N	1044	50.96	BA000007_117933_118976 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0109	N	108	49.07	BA000007_118896_119003 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0110	N	1203	52.20	BA000007_119011_120213 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0111	N	1386	54.04	BA000007_120203_121588 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0112	N	441	53.29	BA000007_121598_122038 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0113	N	894	53.58	BA000007_122241_123134 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0114	N	552	53.99	BA000007_123222_123773 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0115	N	855	52.05	BA000007_123770_124624 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0116	N	1374	52.47	BA000007_124667_126040 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0117	N	765	55.42	BA000007_126581_127345 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0118	N	2664	53.08	BA000007_127506_130169 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0119	N	1893	54.68	BA000007_130184_132076 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0120	N	1425	52.49	BA000007_132284_133708 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0121	N	1854	53.94	BA000007_133779_135632 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0122	N	2598	55.70	BA000007_135987_138584 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0123	N	411	52.55	BA000007_138712_139122 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0124	N	795	46.04	BA000007_139160_139954 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0125	N	867	51.21	BA000007_139970_140836 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0126	N	471	49.26	BA000007_140942_141412 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0127	N	1551	54.16	BA000007_141455_143005 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0128	N	2391	55.21	BA000007_143207_145597 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0129	N	549	49.91	BA000007_145791_146339 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0130	N	663	50.23	BA000007_146380_147042 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0131	N	927	49.30	BA000007_147151_148077 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0132	N	771	50.97	BA000007_148074_148844 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0133	N	441	49.21	BA000007_148949_149389 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0134	N	1230	49.27	BA000007_149453_150682 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0135	N	381	52.49	BA000007_150686_151066 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0136	N	897	48.61	BA000007_151340_152236 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0137	N	852	54.23	BA000007_152535_153386 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0138	N	795	54.09	BA000007_153398_154192 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0139	N	1110	43.60	BA000007_154327_155436 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0140	N	591	47.21	BA000007_155448_156038 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0141	N	606	45.38	BA000007_156059_156664 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0142	N	561	48.66	BA000007_156679_157239 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0143	N	2601	48.90	BA000007_157241_159841 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0144	N	726	48.35	BA000007_159883_160608 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0145	N	597	46.06	BA000007_160695_161291 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0146	N	483	50.10	BA000007_161572_162054 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0147	N	1365	56.12	BA000007_162051_163415 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0148	N	927	53.83	BA000007_163508_164434 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0149	N	456	52.19	BA000007_164471_164926 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0150	N	705	49.36	BA000007_165104_165808 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0151	N	540	55.93	BA000007_165823_166362 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0152	N	2475	56.57	BA000007_166382_168856 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0153	N	2535	54.91	BA000007_169052_171586 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0154	N	2244	51.65	BA000007_171806_174049 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0155	N	798	56.77	BA000007_174100_174897 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0156	N	891	54.55	BA000007_174897_175787 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0157	N	1983	60.11	BA000007_175784_177766 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0158	N	1281	55.58	BA000007_177801_179081 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0159	N	1422	54.15	BA000007_179306_180727 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0160	N	345	51.01	BA000007_180809_181153 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0161	N	624	53.37	BA000007_181200_181823 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0162	N	801	52.43	BA000007_181861_182661 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0163	N	699	52.79	BA000007_182654_183352 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0164	N	1518	47.76	BA000007_183436_184953 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0165	N	1425	53.82	BA000007_185083_186507 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0166	N	1158	52.76	BA000007_186662_187819 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0167	N	387	44.44	BA000007_187908_188294 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0168	N	825	53.09	BA000007_188609_189433 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0169	N	2673	53.16	BA000007_189464_192136 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0170	N	795	49.81	BA000007_192198_192992 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0171	N	726	51.38	BA000007_193360_194085 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0172	N	852	49.77	BA000007_194343_195194 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0173	N	726	52.89	BA000007_195341_196066 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0174	N	558	50.90	BA000007_196216_196773 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0175	N	1197	52.63	BA000007_196865_198061 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0176	N	762	49.74	BA000007_198247_199008 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0177	N	750	50.40	BA000007_199129_199878 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0178	N	1353	50.85	BA000007_199890_201242 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0179	N	2433	50.51	BA000007_201272_203704 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0180	N	486	50.00	BA000007_203825_204310 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0181	N	1026	52.92	BA000007_204314_205339 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0182	N	456	50.88	BA000007_205444_205899 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0183	N	789	53.49	BA000007_205903_206691 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0184	N	1149	53.70	BA000007_206691_207839 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0185	N	597	56.62	BA000007_207836_208432 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0186	N	3483	54.95	BA000007_208469_211951 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0187	N	960	52.92	BA000007_211964_212923 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0188	N	2142	50.98	BA000007_213022_215163 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0189	N	417	50.84	BA000007_215193_215609 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0190	N	1296	58.56	BA000007_215674_216969 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0191	N	261	47.89	BA000007_217022_217282 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0192	N	459	54.68	BA000007_217635_218093 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0193	N	411	54.50	BA000007_218177_218587 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0194	N	711	52.32	BA000007_218601_219311 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0195	N	825	49.21	BA000007_219511_220335 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0196	N	1719	54.51	BA000007_220388_222106 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0197	N	708	54.52	BA000007_222217_222924 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0198	N	405	53.58	BA000007_222921_223325 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0199	N	816	48.65	BA000007_223443_224258 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0200	N	654	52.14	BA000007_224298_224951 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0201	N	1032	51.94	BA000007_224944_225975 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0202	N	576	50.17	BA000007_226163_226738 [CDS]	Escherichia coli O157:H7 str. Sakai
rrsH	N	804	46.39	BA000007_232496_233299 [CDS]	Escherichia coli O157:H7 str. Sakai
ileV	N	915	49.95	BA000007_233296_234210 [CDS]	Escherichia coli O157:H7 str. Sakai
alaV	N	801	52.18	BA000007_234451_235251 [CDS]	Escherichia coli O157:H7 str. Sakai
rrlH	N	771	49.03	BA000007_235329_236099 [CDS]	Escherichia coli O157:H7 str. Sakai
rrfH	N	1359	52.02	BA000007_236147_237505 [CDS]	Escherichia coli O157:H7 str. Sakai
aspU	N	756	40.48	BA000007_237577_238332 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0203	N	741	49.26	BA000007_238348_239088 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0204	N	468	50.64	BA000007_239085_239552 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0205	N	732	51.09	BA000007_239617_240348 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0206	N	297	28.28	BA000007_241871_242167 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0207	N	450	34.00	BA000007_242164_242613 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0208	N	648	35.96	BA000007_242616_243263 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0209	N	222	28.38	BA000007_243291_243512 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0210	N	480	32.92	BA000007_243533_244012 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0211	N	1410	53.90	BA000007_243978_245387 [CDS]	Escherichia coli O157:H7 str. Sakai
aspV	N	3108	56.56	BA000007_245398_248505 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0212	N	189	53.97	BA000007_248762_248950 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0213	N	795	58.24	BA000007_248969_249763 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0214	N	621	55.07	BA000007_249760_250380 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0215	N	744	63.84	BA000007_250385_251128 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0216	N	2772	59.78	BA000007_251125_253896 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0217	N	762	53.02	BA000007_253905_254666 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0218	N	1332	55.48	BA000007_254671_256002 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0219	N	525	51.62	BA000007_256005_256529 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0220	N	1281	56.99	BA000007_256526_257806 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0221	N	1083	54.94	BA000007_257831_258913 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0222	N	1851	53.38	BA000007_258877_260727 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0223	N	414	52.42	BA000007_260731_261144 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0224	N	1392	51.65	BA000007_261235_262626 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0225	N	225	49.33	BA000007_262677_262901 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0226	N	501	50.50	BA000007_262936_263436 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0227	N	519	53.95	BA000007_264133_264651 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0228	N	138	52.17	BA000007_264684_264821 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0229	N	2142	55.60	BA000007_264861_267002 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0230	N	4215	61.21	BA000007_267078_271292 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0231	N	612	37.91	BA000007_271295_271906 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0232	N	183	40.98	BA000007_271928_272110 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0233	N	291	26.12	BA000007_272254_272544 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0234	N	1137	41.78	BA000007_272652_273788 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0235	N	1761	56.62	BA000007_273791_275551 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0236	N	171	25.73	BA000007_275535_275705 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0237	N	264	28.41	BA000007_275753_276016 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0238	N	1173	37.60	BA000007_276197_277369 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0239	N	771	54.86	BA000007_277487_278257 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0240	N	474	50.21	BA000007_278411_278884 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0241	N	2481	56.19	BA000007_278927_281407 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0242	N	579	50.95	BA000007_281611_282189 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0243	N	768	52.73	BA000007_282294_283061 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0244	N	741	49.26	BA000007_283032_283772 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0245	N	261	40.23	BA000007_283928_284188 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0246	N	261	47.51	BA000007_284207_284467 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0247	N	750	52.53	BA000007_284677_285426 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0248	N	297	45.45	BA000007_285602_285898 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0249	N	1740	58.51	BA000007_286244_287983 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0250	N	786	52.80	BA000007_287928_288713 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0251	N	1056	53.88	BA000007_288784_289839 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0252	N	294	41.16	BA000007_289891_290184 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0253	N	399	43.11	BA000007_290187_290585 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0254	N	453	44.15	BA000007_290595_291047 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0255	N	267	51.69	BA000007_291354_291620 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0257	N	501	55.29	BA000007_291589_292089 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0256	N	1458	51.58	BA000007_292146_293603 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0258	N	459	51.63	BA000007_293864_294322 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0259	N	1245	53.41	BA000007_294414_295658 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0260	N	402	50.00	BA000007_295716_296117 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0261	N	1056	45.08	BA000007_296156_297211 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0262	N	1104	55.80	BA000007_297499_298602 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0263	N	1254	54.70	BA000007_298614_299867 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0264	N	975	47.49	BA000007_300072_301046 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs0265	N	246	50.41	BA000007_300937_301182 [CDS]	Escherichia coli O157:H7 str. Sakai
